Date,High,Low,Commodity,
2024-05-28,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-29,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-30,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-05-31,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-03,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-04,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-05,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-06,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-08,58,53,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-10,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-11,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-12,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-13,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-14,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-17,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-18,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-19,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-20,60,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-21,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-22,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-26,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-27,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-28,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-06-29,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-01,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-02,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-03,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-05,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-08,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-09,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-12,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-15,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-16,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-17,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-19,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-22,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-23,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-24,58,51,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-25,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-26,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-27,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-29,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-30,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-07-31,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-01,58,54,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-02,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-03,58,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-05,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-06,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-07,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-08,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-09,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-10,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-12,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-13,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-14,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-15,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-16,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-17,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-20,55,52,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-21,56,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-29,58,48,COMMERCIAL (LOCAL) Premium (Yellow tagged),
2024-08-30,58,50,COMMERCIAL (LOCAL) Premium (Yellow tagged),
