Date,High,Low,Commodity,,
2024-05-28,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-29,66,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-30,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-05-31,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-04,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-05,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-06,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-07,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-08,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-10,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-11,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-12,65,65,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-13,65,65,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-14,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-17,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-18,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-19,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-20,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-21,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-22,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-26,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-27,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-28,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-06-29,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-01,65,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-02,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-03,65,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-05,65,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-06,60,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-08,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-09,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-12,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-15,65,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-16,65,55,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-17,65,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-19,65,56,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-22,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-23,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-24,65,50,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-25,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-26,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-27,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-29,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-30,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-07-31,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-01,63,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-02,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-03,60,57,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-05,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-06,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-07,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-08,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-09,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-10,63,58,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-12,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-13,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-14,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-15,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-16,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-17,65,53,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-20,62,60,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-21,62,62,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-29,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
2024-08-30,65,54,COMMERCIAL (LOCAL) Special (Blue tagged),,
