Date,High,Low,Commodity,
2024-07-05,49,49,COMMERCIAL (LOCAL) Well Milled,
2024-07-08,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-07-09,54,48,COMMERCIAL (LOCAL) Well Milled,
2024-07-12,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-07-15,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-07-16,55,50,COMMERCIAL (LOCAL) Well Milled,
2024-07-17,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-19,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-22,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-23,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-24,54,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-25,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-07-26,55,49,COMMERCIAL (LOCAL) Well Milled,
2024-07-27,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-29,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-30,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-07-31,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-01,55,52,COMMERCIAL (LOCAL) Well Milled,
2024-08-02,55,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-03,53,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-05,55,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-06,55,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-07,54,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-08,55,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-09,55,47,COMMERCIAL (LOCAL) Well Milled,
2024-08-10,53,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-12,54,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-13,52,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-14,54,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-15,54,45,COMMERCIAL (LOCAL) Well Milled,
2024-08-16,54,45,COMMERCIAL (LOCAL) Well Milled,
2024-08-17,54,48,COMMERCIAL (LOCAL) Well Milled,
2024-08-20,53,45,COMMERCIAL (LOCAL) Well Milled,
2024-08-21,54,54,COMMERCIAL (LOCAL) Well Milled,
2024-08-29,55,45,COMMERCIAL (LOCAL) Well Milled,
2024-08-30,55,45,COMMERCIAL (LOCAL) Well Milled,
,,,,
,,,,
