Date,Low,High,Commodity,High 
2023-07-06,100,180,Carrots,
2023-07-07,100,180,Carrots,
2023-07-10,140,180,Carrots,
2023-07-11,130,200,Carrots,
2023-07-12,180,240,Carrots,
2023-07-13,190,240,Carrots,
2023-07-14,180,260,Carrots,
2023-07-17,140,260,Carrots,
2023-07-18,150,260,Carrots,
2023-07-19,140,260,Carrots,
2023-07-20,120,250,Carrots,
2023-07-21,130,250,Carrots,
2023-07-24,140,250,Carrots,
2023-07-25,170,250,Carrots,
2023-07-26,150,250,Carrots,
2023-07-27,160,260,Carrots,
2023-07-28,160,280,Carrots,
2023-07-31,140,240,Carrots,
2023-08-01,120,220,Carrots,
2023-08-02,120,200,Carrots,
2023-08-03,140,230,Carrots,
2023-08-04,160,250,Carrots,
2023-08-07,150,230,Carrots,
2023-08-08,150,240,Carrots,
2023-08-09,120,220,Carrots,
2023-08-10,130,200,Carrots,
2023-08-11,130,200,Carrots,
2023-08-14,140,240,Carrots,
2023-08-15,150,240,Carrots,
2023-08-16,120,200,Carrots,
2023-08-17,140,200,Carrots,
2023-08-18,130,180,Carrots,
2023-08-21,100,200,Carrots,
2023-08-22,120,200,Carrots,
2023-08-23,120,200,Carrots,
2023-08-24,130,200,Carrots,
2023-08-25,120,210,Carrots,
2023-08-28,100,200,Carrots,
2023-08-29,120,200,Carrots,
2023-08-30,140,220,Carrots,
2023-08-31,150,200,Carrots,
2023-09-01,120,200,Carrots,
2023-09-04,120,200,Carrots,
2023-09-05,120,200,Carrots,
2023-09-06,140,200,Carrots,
2023-09-07,140,200,Carrots,
2023-09-08,100,200,Carrots,
2023-09-11,120,200,Carrots,
2023-09-12,120,200,Carrots,
2023-09-13,100,200,Carrots,
2023-09-14,120,200,Carrots,
2023-09-15,100,200,Carrots,
2023-09-18,120,180,Carrots,
2023-09-19,120,180,Carrots,
2023-09-20,120,180,Carrots,
2023-09-21,120,180,Carrots,
2023-09-22,120,180,Carrots,
2023-09-25,120,180,Carrots,
2023-09-26,130,180,Carrots,
2023-09-27,120,180,Carrots,
2023-09-28,120,180,Carrots,
2023-09-29,120,180,Carrots,
2023-10-02,120,190,Carrots,
2023-10-03,120,190,Carrots,
2023-10-04,130,200,Carrots,
2023-10-05,120,180,Carrots,
2023-10-06,120,180,Carrots,
2023-10-09,135,190,Carrots,
2023-10-10,130,190,Carrots,
2023-10-11,120,180,Carrots,
2023-10-12,130,200,Carrots,
2023-10-13,130,200,Carrots,
2023-10-16,130,180,Carrots,
2023-10-17,140,180,Carrots,
2023-10-18,140,180,Carrots,
2023-10-19,140,180,Carrots,
2023-10-20,130,180,Carrots,
2023-10-23,100,150,Carrots,
2023-10-24,120,180,Carrots,
2023-10-25,110,180,Carrots,
2023-10-26,120,180,Carrots,
2023-10-27,120,180,Carrots,
2023-10-30,110,170,Carrots,
2023-10-31,110,200,Carrots,
2023-11-02,150,200,Carrots,
2023-11-03,150,200,Carrots,
2023-11-06,80,190,Carrots,
2023-11-07,80,190,Carrots,
2023-11-08,80,180,Carrots,
2023-11-09,80,170,Carrots,
2023-11-10,90,180,Carrots,
2023-11-13,90,170,Carrots,
2023-11-14,90,160,Carrots,
2023-11-15,90,160,Carrots,
2023-11-16,80,160,Carrots,
2023-11-17,80,160,Carrots,
2023-11-20,80,160,Carrots,
2023-11-21,80,160,Carrots,
2023-11-22,80,170,Carrots,
2023-11-23,70,160,Carrots,
2023-11-24,85,160,Carrots,
2023-11-27,80,180,Carrots,
2023-11-28,80,160,Carrots,
2023-11-29,70,170,Carrots,
2023-11-30,80,160,Carrots,
2023-12-01,60,160,Carrots,
2023-12-04,70,160,Carrots,
2023-12-05,60,160,Carrots,
2023-12-06,70,140,Carrots,
2023-12-07,70,130,Carrots,
2023-12-08,60,130,Carrots,
2023-12-11,70,140,Carrots,
2023-12-12,70,140,Carrots,
2023-12-13,70,140,Carrots,
2023-12-14,70,130,Carrots,
2023-12-15,70,130,Carrots,
2023-12-18,60,120,Carrots,
2023-12-19,70,140,Carrots,
2023-12-20,70,190,Carrots,
2023-12-21,70,140,Carrots,
2023-12-22,70,140,Carrots,
2023-12-26,70,140,Carrots,
2023-12-27,60,160,Carrots,
2023-12-28,70,140,Carrots,
2023-12-29,70,150,Carrots,
2024-01-02,80,160,Carrots,
2024-01-03,70,150,Carrots,
2024-01-04,70,150,Carrots,
2024-01-05,70,150,Carrots,
2024-01-08,50,150,Carrots,
2024-01-09,50,140,Carrots,
2024-01-10,60,130,Carrots,
2024-01-11,80,110,Carrots,
2024-01-12,70,130,Carrots,
2024-01-15,60,120,Carrots,
2024-01-16,50,120,Carrots,
2024-01-17,60,130,Carrots,
2024-01-18,60,130,Carrots,
2024-01-19,60,130,Carrots,
2024-01-22,70,130,Carrots,
2024-01-23,70,130,Carrots,
2024-01-24,70,120,Carrots,
2024-01-25,70,120,Carrots,
2024-01-26,60,120,Carrots,
2024-01-29,70,120,Carrots,
2024-01-30,70,120,Carrots,
2024-01-31,70,120,Carrots,
2024-02-01,70,120,Carrots,
2024-02-02,70,130,Carrots,
2024-02-05,70,120,Carrots,
2024-02-06,70,120,Carrots,
2024-02-07,70,120,Carrots,
2024-02-08,70,120,Carrots,
2024-02-09,70,120,Carrots,
2024-02-12,70,120,Carrots,
2024-02-13,70,120,Carrots,
2024-02-14,70,130,Carrots,
2024-02-15,70,120,Carrots,
2024-02-16,70,120,Carrots,
2024-02-19,80,110,Carrots,
2024-02-20,80,110,Carrots,
2024-02-21,80,110,Carrots,
2024-02-22,80,110,Carrots,
2024-02-23,80,110,Carrots,
2024-02-26,80,140,Carrots,
2024-02-27,80,110,Carrots,
2024-02-28,80,110,Carrots,
2024-02-29,80,110,Carrots,
2024-03-01,100,135,Carrots,
2024-03-04,110,140,Carrots,
2024-03-05,110,140,Carrots,
2024-03-06,110,140,Carrots,
2024-03-07,100,150,Carrots,
2024-03-08,80,140,Carrots,
2024-03-11,100,130,Carrots,
2024-03-12,100,130,Carrots,
2024-03-13,100,130,Carrots,
2024-03-14,90,150,Carrots,
2024-03-15,90,150,Carrots,
2024-03-18,80,140,Carrots,
2024-03-19,75,150,Carrots,
2024-03-20,75,150,Carrots,
2024-03-21,75,150,Carrots,
2024-03-22,80,150,Carrots,
2024-03-25,80,150,Carrots,
2024-03-26,80,150,Carrots,
2024-03-27,80,150,Carrots,
2024-04-01,80,140,Carrots,
2024-04-02,90,140,Carrots,
2024-04-03,80,140,Carrots,
2024-04-04,70,140,Carrots,
2024-04-05,80,150,Carrots,
2024-04-08,70,140,Carrots,
2024-04-11,70,140,Carrots,
2024-04-12,70,120,Carrots,
2024-04-15,60,130,Carrots,
2024-04-16,60,120,Carrots,
2024-04-17,60,120,Carrots,
2024-04-18,70,120,Carrots,
2024-04-19,60,130,Carrots,
2024-04-20,60,130,Carrots,
2024-04-22,60,140,Carrots,
2024-04-23,65,130,Carrots,
2024-04-24,65,130,Carrots,
2024-04-25,60,140,Carrots,
2024-04-26,60,140,Carrots,
2024-04-27,60,130,Carrots,
2024-04-29,75,110,Carrots,
2024-04-30,70,130,Carrots,
2024-05-01,70,140,Carrots,
2024-05-02,60,140,Carrots,
2024-05-03,60,140,Carrots,
2024-05-04,70,140,Carrots,
2024-05-06,70,140,Carrots,
2024-05-07,60,160,Carrots,
2024-05-08,60,140,Carrots,
2024-05-09,60,140,Carrots,
2024-05-10,60,140,Carrots,
2024-05-11,60,130,Carrots,
2024-05-13,60,140,Carrots,
2024-05-14,60,140,Carrots,
2024-05-15,60,130,Carrots,
2024-05-16,60,130,Carrots,
2024-05-17,75,110,Carrots,
2024-05-18,50,130,Carrots,
2024-05-20,50,130,Carrots,
2024-05-21,60,130,Carrots,
2024-05-22,55,130,Carrots,
2024-05-23,50,130,Carrots,
2024-05-24,55,130,Carrots,
2024-05-25,60,130,Carrots,
2024-05-27,60,120,Carrots,
2024-05-28,60,120,Carrots,
2024-05-29,60,120,Carrots,
2024-05-30,60,120,Carrots,
2024-05-31,75,110,Carrots,
2024-06-01,75,140,Carrots,
2024-06-03,80,140,Carrots,
2024-06-04,70,140,Carrots,
2024-06-05,70,150,Carrots,
2024-06-06,70,150,Carrots,
2024-06-07,70,140,Carrots,
2024-06-08,70,140,Carrots,
2024-06-10,65,150,Carrots,
2024-06-11,70,140,Carrots,
2024-06-12,70,140,Carrots,
2024-06-13,70,140,Carrots,
2024-06-14,70,140,Carrots,
2024-06-15,70,130,Carrots,
2024-06-17,70,150,Carrots,
2024-06-18,80,150,Carrots,
2024-06-19,70,150,Carrots,
2024-06-20,70,150,Carrots,
2024-06-21,70,150,Carrots,
2024-06-22,70,150,Carrots,
2024-06-24,80,150,Carrots,
2024-06-25,70,150,Carrots,
2024-06-26,90,150,Carrots,
2024-06-27,110,140,Carrots,
2024-06-28,110,140,Carrots,
2024-06-29,110,140,Carrots,
2024-07-01,90,150,Carrots,
2024-07-02,90,160,Carrots,
2024-07-03,90,160,Carrots,
2024-07-04,90,160,Carrots,
2024-07-05,90,160,Carrots,
2024-07-06,90,160,Carrots,
2024-07-08,90,160,Carrots,
2024-07-09,100,180,Carrots,
2024-07-10,100,180,Carrots,
2024-07-11,100,180,Carrots,
2024-07-12,100,180,Carrots,
2024-07-13,100,180,Carrots,
2024-07-15,100,170,Carrots,
2024-07-16,100,170,Carrots,
2024-07-17,100,170,Carrots,
2024-07-18,125,160,Carrots,
2024-07-19,120,170,Carrots,
2024-07-20,140,170,Carrots,
2024-07-22,130,200,Carrots,
2024-07-23,130,190,Carrots,
2024-07-24,150,180,Carrots,
2024-07-25,140,180,Carrots,
2024-07-26,120,220,Carrots,
2024-07-27,120,280,Carrots,
2024-07-29,150,230,Carrots,
2024-07-30,120,250,Carrots,
2024-07-31,100,220,Carrots,
2024-08-01,110,280,Carrots,
2024-08-02,100,200,Carrots,
2024-08-03,100,200,Carrots,
2024-08-05,120,180,Carrots,
2024-08-06,100,200,Carrots,
2024-08-07,100,180,Carrots,
2024-08-08,110,180,Carrots,
2024-08-09,90,190,Carrots,
2024-08-10,110,160,Carrots,
2024-08-12,90,160,Carrots,
2024-08-13,90,160,Carrots,
2024-08-14,90,160,Carrots,
2024-08-15,90,160,Carrots,
2024-08-16,90,160,Carrots,
2024-08-17,90,160,Carrots,
2024-08-19,90,150,Carrots,
2024-08-20,110,140,Carrots,
2024-08-21,80,150,Carrots,
2024-08-22,80,150,Carrots,
2024-08-23,70,150,Carrots,
2024-08-24,70,140,Carrots,
2024-08-26,80,140,Carrots,
2024-08-27,70,140,Carrots,
2024-08-28,70,140,Carrots,
2024-08-29,70,140,Carrots,
2024-08-30,70,140,Carrots,
2024-08-31,70,140,Carrots,
2024-09-02,80,140,Carrots,
2024-09-03,70,140,Carrots,
2024-09-04,70,150,Carrots,
2024-09-05,60,170,Carrots,
2024-09-06,70,150,Carrots,
2024-09-07,70,150,Carrots,
2024-09-09,70,150,Carrots,
2024-09-10,80,150,Carrots,
2024-09-11,80,150,Carrots,
2024-09-12,70,160,Carrots,
2024-09-13,70,150,Carrots,
2024-09-14,70,150,Carrots,
2024-09-16,70,150,Carrots,
2024-09-17,80,150,Carrots,
2024-09-18,80,150,Carrots,
2024-09-19,70,150,Carrots,
2024-09-20,70,150,Carrots,
2024-09-21,70,150,Carrots,
2024-09-23,80,150,Carrots,
2024-09-24,80,150,Carrots,
2024-09-25,80,150,Carrots,
2024-09-26,80,150,Carrots,
2024-09-27,80,150,Carrots,
2024-09-28,80,150,Carrots,
2024-09-30,80,160,Carrots,
2024-10-01,80,160,Carrots,
2024-10-02,90,160,Carrots,
2024-10-03,100,160,Carrots,
2024-10-04,100,160,Carrots,
2024-10-05,100,160,Carrots,
2024-10-07,100,170,Carrots,
2024-10-08,100,180,Carrots,
2024-10-09,125,160,Carrots,
2024-10-10,100,180,Carrots,
2024-10-11,100,170,Carrots,
2024-10-12,100,170,Carrots,
2024-10-14,100,160,Carrots,
2024-10-15,95,160,Carrots,
2024-10-16,95,160,Carrots,
2024-10-17,100,160,Carrots,
2024-10-18,90,160,Carrots,
2024-10-19,90,160,Carrots,
2024-10-21,130,160,Carrots,
2024-10-22,120,180,Carrots,
2024-10-23,110,180,Carrots,
2024-10-24,110,190,Carrots,
2024-10-25,110,180,Carrots,
2024-10-26,140,180,Carrots,
2024-10-28,120,200,Carrots,
2024-10-29,130,200,Carrots,
2024-10-30,120,200,Carrots,
2024-10-31,120,200,Carrots,
2024-11-02,150,210,Carrots,
2024-11-04,130,220,Carrots,
2024-11-05,140,220,Carrots,
